HouseholdID,State,Sector,BuildingType,ElectricitySource,TariffBand,HasMeter,RenewableEnergy,BackupPower,NumOccupants,NumRooms,NumAppliances,MonthlyIncome(NGN),BuildingAge(Years),MonthlyBill(NGN),GeneratorFuelCost(NGN),HoursPowerDaily,SolarCapacity(kW),MonthlyConsumption(kWh),PeakHourUsage,NumACUnits,NumFreezers,ConsumptionCategory
HH000043,Benue,Agricultural,Flat,Both,Band C,Prepaid,Yes,Solar,2,4,9,40953.0,8,4925.0,47066.0,8.1,1.7,33.9,8.1,2,1,moderate
HH000044,Benue,Residential,Shop,NEPA,D,Yes,No,Solar,5,8,9,226563.0,1,12028.0,2663.0,10.0,0.0,1585.3,4.4,0,1,Very High
HH000045,Sokoto,Residential,Duplex,Both,D,Yes,No,None,2,5,10,219796.0,28,9207.0,4205.0,15.6,0.0,626.6,5.4,2,1,Very High
HH000046,Bauchi,Residential,Flat,NEPA/PHCN,Band C,Yes,No,Generator,7,1,5,45546.0,2,1867.0,4272.0,9.9,0.0,100.5,4.4,0,2,L
HH000047,Bauchi,Residential,OFFICE,NEPA/PHCN,Band E,Yes,No,none,7,3,6,308044.0,13,29070.0,17066.0,14.4,0.0,61.2,5.0,0,0,MINIMAL
HH000048,Sokoto,Residential,Factory,Both,Band D,No,No,None,5,4,10,270547.0,0,27643.0,15289.0,10.0,0.0,84.8,6.4,2,1,HIGH
HH000049,Bauchi,Commercial,Office,Both,Band D,Yes,Yes,Generator,4,1,10,132873.0,23,28376.0,13383.0,16.7,0.6,579.0,5.4,1,1,Extreme
HH000050,Kano,Residential,Duplex,generator,Band C,Yes,No,Generator,6,2,10,44476.0,4,"NGN30,768",2417.0,12.7,0.0,5393.0,5.2,1,1,HIGH
HH000051,Benue,Commercial,Flat,Off-grid,Band C,No,Yes,None,4,2,10,530898.0,17,1000.0,4762.0,14.5,0.5,563.7,4.5,2,1,VERY HIGH
HH000052,Delta,Government,Shop,generator,Band B,Yes,No,Generator,2,3,6,124335.0,1,48206.0,21903.0,8.9,0.0,202.8,4.1,0,0,low
HH000053,Rivers,Commercial,Shop,Solar,C,Yes,N,Solar,6,3,4,32919.0,11,"₦40,502",593.0,0.8,0.0,271.9,3.2,2,1,MODERATE
HH000054,Anambra,Residential,Duplex,Both,Band E,no,no,None,6,1,9,257767.0,12,29324.0,10867.0,2.8,0.0,412.5,2.9,0,0,LOW
HH000055,Kano,Residential,Office,NEPA/PHCN,Band B,yes,No,Generator,4,2,5,149218.0,0,37782.0,8951.0,5.5,0.0,764.0,6.8,1,0,H
HH000056,Oyo,Commercial,Bungalow,NEPA/PHCN,Band B,Yes,Yes,None,3,1,9,279471.0,20,30152.0,18189.0,1.6,0.8,179.5,6.7,5,3,very high
HH000057,Kano,Residential,Bungalow,NEPA/PHCN,Band C,No,No,Generator,5,2,8,205250.0,11,65563.0,1201.0,2.8,0.0,36.2,5.9,3,0,LOW
HH000058,Delta,Commercial,Flat,NEPA/PHCN,Band C,Yes,Yes,Generator,5,2,4,71573.0,6,8486.0,13184.0,14.7,1.8,3990.0,6.1,1,0,Medium
HH000059,Oyo,Residential,Duplex,NEPA/PHCN,Band B,Yes,No,Generator,5,2,4,20000.0,2,7643.0,"₦3,412",24.0,0.0,192.2,5.8,0,0,LOW
HH000060,Anambra,Government,Bungalow,generator,Band D,Yes,No,Generator,3,8,11,"NGN23,877",14,3561.0,8956.0,12.4,0.0,66.3,5.3,1,0,moderate
HH000061,Delta,Industrial,Factory,Solar,Band A,Yes,N,UPS,5,3,9,"₦238,368",1,103913.0,4420.0,9.9,0.0,36.3,6.5,0,1,high
HH000062,Abuja,Commercial,Flat,NEPA,Band B,Yes,Yes,none,5,2,6,69137.0,9,9888.0,15513.0,12.8,1.1,115.2,2.0,1,1,MINIMAL
HH000063,Rivers,Residential,Shop,Grid,C,Yes,no,None,6,4,8,155071.0,17,16604.0,2769.0,0.0,0.0,121.3,7.1,2,1,M
HH000064,Anambra,Residential,Office,Mixed,Band D,No,0,Solar,3,1,11,624189.0,18,18211.0,943.0,14.3,0.0,43.4,4.2,1,0,LOW
HH000065,Benue,Industrial,Factory,Grid,Band C,Yes,No,GEN,3,3,5,68470.0,22,"₦33,568",13856.0,0.0,0.0,121.0,5.1,0,3,Low
HH000066,Bauchi,Commercial,Duplex,Both,C,Yes,No,Generator,4,2,11,"NGN20,000",4,16034.0,1742.0,13.0,0.0,655.0,4.5,1,0,Extreme
HH000067,Abuja,Residential,Duplex,Generator,B,Yes,Yes,None,4,2,14,208479.0,3,"₦17,046",70309.0,11.5 hrs,3.5,342.3,6.0,0,1,VH
HH000068,Kwara,Residential,Office,Both,Band A,Yes,No,Generator,5,5,8,79187.0,13,6820.0,19289.0,7.6,0.0,264.9,6.6,2,2,HEAVY
HH000069,Anambra,Residential,Duplex,NEPA,Band A,no,yes,Generator,2,1,10,92460.0,5,7073.0,3552.0,9.9,2.0 kW,20.0,8.5,2,1,L
HH000070,Kwara,Industrial,Shop,generator,Band C,Prepaid,No,Solar,3,2,10,20000.0,18,3181.0,21074.0,17.1,0.0,390.2,8.9,0,1,Very High
HH000071,Oyo,Residential,Flat,Grid,C,Yes,Yes,Generator,8,1,8,202388.0,13,4913.0,1007.0,8.9,0.5,210.3,4.1,4,0,Moderate
HH000072,Abuja,Commercial,Duplex,Both,Band E,Prepaid,yes,Generator,1,4,5,406291.0,7,7403.0,52350.0,10.5,0.6,252.8,6.8,3,1,Heavy
HH000073,Rivers,Commercial,Office,Solar,Band A,Yes,Yes,None,4,8,7,58502.0,7,2142.0,11629.0,10.5,0.6,94.0,7.8,2,0,Heavy
HH000074,Benue,Commercial,flat,Off-grid,Band C,No,No,Solar,3,4,8,96989.0,32,33141.0,7446.0,3.4,0.0,76.9,6.6,0,2,L
HH000075,Sokoto,Government,Bungalow,Grid,Band D,no,No,UPS,6,6,5,216471.0,13,"₦5,756",5364.0,,0.0,138.8kwh,3.9,2,1,MODERATE
HH000076,Benue,Government,Bungalow,Solar,Band B,Yes,No,Generator,6,2,9,176856.0,7,18945.0,2024.0,12.9,0.0,236.4,7.2,1,1,HEAVY
HH000077,Delta,Commercial,Shop,Both,Band D,Yes,No,Generator,3,3,8,193261.0,14,3325.0,7966.0,7.3,0.0,481.5,6.4,0,2,HIGH
HH000078,Benue,Residential,Bungalow,NEPA,Band C,Yes,yes,None,1,4,10,696071.0,12,8784.0,8642.0,19.8,1.5,206.0,4.8,1,1,M
HH000079,Niger,Residential,Bungalow,Generator,Band B,no,No,UPS,4,2,10,25413.0,32,8527.0,8160.0,0.7,0.0,196.7,7.6,2,2,Medium
HH000080,Enugu,Commercial,Duplex,NEPA,Band C,0,yes,Generator,2,4,8,28173.0,23,5895.0,9636.0,17.1,0.5,231.0,9.0,0,1,MODERATE
HH000081,Sokoto,Commercial,Flat,NEPA/PHCN,D,Yes,No,None,4,5,4,88721.0,24,7242.0,3572.0,10.9,0.0,53.9,2.7,1,1,Minimal
HH000082,Kano,Commercial,Office,Solar,B,No,No,Generator,4,4,3,276048.0,5,7406.0,27177.0,14.6,0.0,389.8,7.7,0,0,Heavy
HH000083,Bauchi,Residential,Flat,Solar,B,Yes,yes,Generator,3,5,13,290187.0,10,24537.0,28282.0,11.3,0.5,20.0,7.2,2,1,high
HH000084,Lagos,Commercial,DUPLEX,Both,B,1,Yes,ups,6,3,7,343715.0,12,8263.0,1193.0,11.2,2.1,85.2,6.3,2,3,HEAVY
HH000085,Rivers,Residential,Factory,NEPA/PHCN,Band B,no,0,GEN,2,4,9,85692.0,9,8639.0,6908.0,12.8,0.0 kW,20.0,6.4,1,0,Low
HH000086,Abuja,Industrial,Warehouse,NEPA/PHCN,A,yes,Yes,UPS,3,6,2,113379.0,3yrs,11434.0,27990.0,7.7,1.9,706.0,1.8,1,0,HEAVY
HH000087,Enugu,Residential,Flat,solar,Band B,no,yes,UPS,8,3,9,145986.0,25yrs,12380.0,8243.0,15.4,4.9,235.0,6.5,0,0,moderate
HH000088,Rivers,Industrial,Bungalow,Generator,Band E,No,No,Solar,6,4,9,450046.0,10,18095.0,8495.0,0.0,0.0,150.4,7.7,1,1,High
HH000089,Abuja,Residential,OFFICE,Generator,Band C,Yes,No,solar,8,5,7,80737.0,13,11135.0,1927.0,5.5,0.0,97.7,2.2,2,1,Minimal
HH000090,Bauchi,Residential,Bungalow,nepa,Band B,0,No,UPS,3,5,11,20000.0,18,55889.0,7020.0,14.0,0.0,412.7,10.2,2,1,VERY HIGH
HH000091,Kaduna,Industrial,Shop,Generator,Band C,Yes,1,ups,2,3,7,112688.0,4,25531.0,65989.0,0.9,3.6,286.6,8.0,1,1,high
HH000092,Kaduna,Residential,Bungalow,NEPA,Band C,Yes,no,Generator,2,8,10,234302.0,19,15377.0,20721.0,9.1,0.0,391.0,8.0,0,0,high
HH000093,Kwara,Industrial,Factory,Generator,Band D,Yes,No,Generator,6,6,7,89891.0,21,40046.0,11637.0,12.6 hrs,0.0,347.9,4.9,1,0,Very heavy
HH000094,Rivers,Commercial,flat,nepa,Band D,Yes,No,No Backup,4,5,3,28635.0,7,38024.0,10071.0,8.0,0.0,285.0,6.5,0,0,low
HH000095,Kaduna,Commercial,Flat,Solar,Band D,Yes,Yes,Solar,4,5,11,444126.0,23,2638.0,61.0,15.2,7.5,347.0,5.9,1,0,high
HH000096,Niger,Residential,Duplex,Grid,Band C,yes,No,None,3,3,5,68276.0,21,10264.0,2405.0,4.7,0.0,504.0,8.3,0,2,AVERAGE
HH000097,Sokoto,Commercial,Duplex,Generator,Band D,Yes,No,Generator,4,3,11,182889.0,12,8442.0,5296.0,8.7,0.0,545.0,4.3,1,0,very high
HH000098,Abuja,Commercial,Flat,Generator,Band D,No,No,Generator,3,4,8,386910.0,7,7266.0,33213.0,3.9,0.0,137.5,3.9,1,1,Medium
HH000099,Kwara,Commercial,Bungalow,Off-grid,Band A,Yes,yes,generator,4,4,12,157005.0,10yrs,2395.0,13955.0,0.0,0.8,42.6,4.9,1,0,AVERAGE
HH000100,Benue,Commercial,Office,Both,Band C,no,no,Generator,2,3,8,20000.0,14,7685.0,17092.0,20.0,0.0,148.2,5.8,1,1,AVERAGE
HH000101,Abuja,Residential,Flat,nepa,A,Yes,No,UPS,5,6,10,50477.0,21,15040.0,14867.0,14.6,0.0,345.1,12.0,0,3,very high
HH000102,Kwara,Residential,Duplex,NEPA/PHCN,Band D,no,No,None,1,4,10,"NGN310,929",8,1261.0,"NGN1,381",8.7,0.0,615.0,9.5,0,1,high
HH000103,Bauchi,Residential,Flat,Solar,Band C,Yes,No,None,4,3,9,450564.0,23,7289.0,27505.0,14.7,0.0,26.8,4.9,2,0,M
HH000104,Rivers,Residential,Flat,Generator,Band B,No,Yes,None,2,6,3,44394.0,11,1000.0,13594.0,3.6,1.6kw,137.1,6.1,3,1,LOW
HH000105,Bauchi,Residential,Bungalow,NEPA/PHCN,Band A,Yes,No,Generator,5,3,3,223948.0,2,3569.0,31954.0,6.1,0.0,171.7,5.6,3,3,HEAVY
HH000106,Sokoto,Industrial,Factory,Solar,Band B,Yes,Yes,UPS,1,6,9,51329.0,25,7643.0,14724.0,8.4,2.0,56.4,6.5,1,4,high
HH000107,Sokoto,Industrial,bungalow,Mixed,Band B,Yes,no,Generator,4,4,8,189250.0,18,12355.0,"₦3,101",9.7,0.0,175.8,2.8,2,2,High
HH000108,Enugu,Residential,Duplex,NEPA/PHCN,Band C,Yes,No,Generator,1,8,4,224646.0,15,2799.0,20609.0,12.6,0.0,20.3,6.3,2,0,Minimal
HH000109,Bauchi,Agricultural,Bungalow,NEPA/PHCN,Band B,Yes,no,None,7,5,10,79165.0,21,13734.0,16913.0,2.8,0.0,349.9,4.3,3,1,VERY HIGH
HH000110,Delta,Commercial,Factory,NEPA/PHCN,Band A,Yes,No,None,5,2,11,117339.0,19,10904.0,7064.0,6.7,0.0,1092.0,3.4,1,1,VERY HIGH
HH000111,Benue,Government,Bungalow,nepa,Band E,No,No,Generator,8,5,8,20000.0,22,5262.0,1040.0,12.4,0.0,1089.6,6.7,0,1,EXTREME
HH000112,Anambra,Industrial,Bungalow,Solar,Band B,No,No,none,4,5,6,20000.0,10,8722.0,12330.0,5.9,0.0,81.7,5.2,4,1,Very High
HH000113,Bauchi,Industrial,Office,Generator,Band C,No,No,Generator,5,1,5,107133.0,15,1054.0,16529.0,10.9,0.0,39.4,9.9,2,3,H
HH000114,Enugu,Residential,Duplex,NEPA,Band B,No,no,Solar,3,3,9,125194.0,17,14000.0,NGN111,11.5,0.0,59.9,8.6,0,0,low
HH000115,Oyo,Residential,Bungalow,NEPA/PHCN,Band C,Yes,No,Generator,6,3,4,389885.0,12,4991.0,900.0,11.6,0.0,188.0,6.1,1,1,LOW
HH000116,Niger,Residential,Warehouse,Generator,Band B,Yes,Yes,Generator,3,5,7,222347.0,13,7334.0,2919.0,11.0,0.5,936.3,8.6,1,0,EXTREME
HH000117,Abuja,Industrial,Duplex,NEPA/PHCN,Band A,No,yes,GEN,5,2,7,31496.0,14,7022.0,10327.0,7.7,2.2,22.0,2.0,1,0,MINIMAL
HH000118,Sokoto,Residential,DUPLEX,NEPA/PHCN,BAND A,Yes,No,Solar,3,6,8,"₦119,370",0,1506.0,7233.0,12.3,0.0,68.1,4.6,1,0,Medium
HH000119,Oyo,Industrial,Bungalow,NEPA/PHCN,Band C,Yes,Yes,Generator,6,1,6,174104.0,1,91538.0,18756.0,4.4,0.5,105.7,6.6,2,1,M
HH000120,Enugu,Residential,Shop,Generator,Band C,1,yes,Generator,3,4,4,27814.0,3,3784.0,17655.0,6.5,2.1,1342.7,8.6,1,3,Very High
HH000121,Kwara,Industrial,Flat,Solar,Band B,Yes,No,Generator,7,5,5,348904.0,4,2181800.0,16293.0,6.4,0.0,48.0,7.6,1,0,HIGH
HH000122,Anambra,Residential,Bungalow,NEPA/PHCN,Band C,0,Yes,GEN,1,5,11,20000.0,7,17665.0,2338.0,12.2,1.8,400.2,7.7,2,2,HIGH
HH000123,Benue,Residential,Factory,NEPA/PHCN,Band D,no,No,Solar,2,2,9,84209.0,0,23708.0,15572.0,14.9,0.0,242.7,5.5,0,2,Low
HH000124,Benue,Residential,bungalow,NEPA/PHCN,Band B,1,no,UPS,4,1,9,40269.0,3,26144.0,3533.0,6.0,0.0,20.0,4.9,0,1,LOW
HH000125,Benue,Residential,Bungalow,NEPA/PHCN,Band C,No,No,None,4,5,7,23887.0,11,3622.0,3111.0,5.1,0.0,897.4,10.8,2,0,VERY HIGH
HH000126,Niger,Residential,Factory,NEPA/PHCN,Band B,no,Yes,Solar,4,2,13,167227.0,6,1247.0,5188.0,8.1,1.6,20.0,8.3,0,1,Minimal
HH000127,Anambra,Industrial,Flat,NEPA/PHCN,Band C,Postpaid,Yes,Generator,6,2,5,32057.0,5,46082.0,1809.0,6.6,,88.3,5.5,0,1,Low
HH000128,Niger,Residential,Factory,Mixed,Band D,Yes,no,Generator,7,4,5,164718.0,1,1265.0,2072.0,9.2,0.0,249.2,8.6,0,1,low
HH000129,Sokoto,Residential,Factory,Both,Band A,no,No,Generator,2,3,5,270333.0,0,"NGN3,190",39435.0,10.9,0.0,385.3,6.6,0,0,M
HH000130,Niger,Industrial,Bungalow,nepa,Band C,1,no,UPS,5,3,14,20000.0,3,4904.0,25504.0,12.2,0.0,93.1,8.7,1,0,VERY HIGH
HH000131,Lagos,Residential,Bungalow,NEPA,Band C,Yes,yes,None,7,1,4,114381.0,1,-24744.0,29620.0,1.7,0.7,83.4,6.3,2,0,LOW
HH000132,Anambra,Government,Flat,Both,Band A,Yes,No,Generator,5,1,7,293170.0,5,53097.0,26088.0,6.9,0.0,53.8,6.4,0,1,Moderate
HH000133,Delta,Agricultural,flat,Both,D,No,No,UPS,3,3,12,25912.0,18,11890.0,25862.0,16.8,0.0,104.0,6.7,1,0,M
HH000134,Anambra,Residential,Duplex,Both,Band B,Yes,No,None,4,1,7,316663.0,16,15605.0,1227.0,18.1,0.0,59.3,8.2,0,0,L
HH000135,Enugu,Residential,Office,Both,Band C,Yes,Yes,No Backup,3,2,8,205027.0,14,6426.0,19524.0,16.0,0.8,313.9,7.9,1,1,M
HH000136,Lagos,Residential,Bungalow,solar,Band C,Yes,Yes,solar,3,4,13,32745.0,4,12757.0,18724.0,9.4,1.9,496.4,4.9,0,1,HEAVY
HH000137,Benue,Industrial,Factory,NEPA/PHCN,Band B,Yes,1,None,6,4,7,20000.0,21,64090.0,19615.0,3.1,0.5kw,170.6,6.6,1,0,Medium
HH000138,Enugu,Commercial,Office,NEPA/PHCN,Band C,Yes,yes,none,5,2,6,69489.0,5,11372.0,36013.0,11.3,0.6,818.5,3.6,1,2,Very heavy
HH000139,Enugu,Commercial,Factory,NEPA/PHCN,Band D,Yes,0,none,5,2,9,72532.0,0,19977.0,10213.0,15.2,0.0,473.6,2.3,0,2,H
HH000140,Sokoto,Industrial,DUPLEX,NEPA,Band D,yes,yes,Generator,1,4,10,138807.0,27,12887.0,6468.0,8.3,1.6,256.9,7.0,1,1,moderate
HH000141,Plateau,Residential,Bungalow,Generator,Band D,No,No,None,4,4,5,80273.0,,6844.0,901.0,11.4,0.0,187.3,3.5,0,1,Low
HH000142,Kano,Industrial,Duplex,solar,Band C,Yes,0,None,4,2,9,357934.0,21,28462.0,33037.0,9.7,0.0,559.7,4.3,0,2,VH
HH000143,Lagos,Industrial,Mansion,Generator,Band D,Yes,No,None,5,8,6,58388.0,9,7029.0,17983.0,8.0,0.0,20.0,3.7,3,1,H
HH000144,Enugu,Commercial,Bungalow,Generator,Band C,no,0,none,4,2,8,65771.0,12,5687.0,4173.0,10.6,0.0,298.9,7.4,4,3,Very heavy
HH000145,Kano,Government,Factory,Generator,band b,No,Yes,Generator,4,1,11,174275.0,15,1000.0,"₦1,883",20.5,3.6,21.9,4.6,0,0,low
HH000146,Kano,Industrial,Factory,Both,Band C,Prepaid,No,Generator,5,3,8,"NGN31,703",3,43684.0,6280.0,8.1,0.0,174.5,5.7,2,0,H
HH000147,Lagos,Residential,Office,nepa,Band B,Yes,No,Solar,8,4,7,282575.0,7,"NGN2,975",13532.0,11.4,0.0,571.7,5.3,1,3,very high
HH000148,Plateau,Residential,Duplex,Generator,Band C,Yes,Yes,Generator,5,3,10,19000200.0,0,5015.0,7632.0,18.7,0.5,251.5,4.4,0,1,Average
HH000149,Oyo,Commercial,Duplex,Both,Band C,Yes,No,Generator,7,6,10,20000.0,10,15716.0,7950.0,3.7,0.0,20.0,4.2,1,2,Heavy
HH000150,Kwara,Residential,Office,NEPA/PHCN,Band B,Yes,no,Generator,2,3,2,203808.0,7 years,4700.0,2938.0,7.4,0.0,369.9,10.4,1,0,Minimal
HH000151,Delta,Agricultural,Bungalow,Both,Band B,Yes,1,None,4,3,4,53818.0,20,3898.0,2170.0,7.7,1.2,650.4,5.0,1,0,Low
HH000152,Kwara,Residential,Office,Solar,Band C,Yes,yes,None,1,5,8,105784.0,9,23096.0,851.0,11.2,0.5,113.6,4.8,1,0,Low
HH000153,Anambra,Commercial,Flat,generator,A,Yes,No,Generator,2,5,6,61884.0,14,7257.0,2685.0,5.4,0.0,292.6,3.3,0,1,Low
HH000154,Benue,Commercial,Flat,generator,Band B,Yes,No,None,3,4,9,133689.0,11,56694.0,3341.0,9.0,0.0,682.7,4.4,0,1,EXTREME
HH000155,Delta,Residential,Duplex,Solar,Band C,yes,No,Generator,1,4,11,59286.0,21,32895.0,11864.0,4.1,0.0,405.5,5.9,2,1,H
HH000156,Anambra,Government,flat,NEPA/PHCN,Band D,yes,No,Generator,3,3,8,"NGN264,963",5,8712.0,22650.0,18.5,0.0,123.8,8.8,3,0,High
HH000157,Enugu,Government,Flat,NEPA,Band A,Yes,No,Solar,4,7,7,20000.0,9,23523.0,8713.0,14.7,0.0,1248.9,8.4,2,0,EXTREME
HH000158,Benue,Commercial,Office,NEPA/PHCN,Band D,0,no,None,8,4,6,190739.0,0,44734.0,7257.0,8.4,0.0,311.3,5.0,2,2,High
HH000159,Abuja,Residential,flat,Solar,Band D,Yes,Yes,None,4,5,9,79884.0,14,12347.0,27917.0,7.4,0.5,78.7 kWh,6.2,2,1,Moderate
