State,Sector,BuildingType,ElectricitySource,TariffBand,HasMeter,RenewableEnergy,BackupPower,NumOccupants,NumRooms,NumAppliances,BuildingAge(Years),HoursPowerDaily,SolarCapacity(kW),PeakHourUsage,NumACUnits,NumFreezers,ConsumptionCategory,MonthlyIncome_log,MonthlyBill_log,GeneratorFuelCost_log,MonthlyConsumption_log,consumption_rate,House_comfort,usage_rate,appliance_consumption,Hourly_rate
Kwara,Industrial,Duplex,NEPA/PHCN,B and C,No,No,Generator,2,6,11,27,13.6,0.0,7.5,1,2,Very high,10.6649,10.6649,9.095153962167066,5.771129548115811,2.89,0.627,0.54,0.8,0.424
Benue,Agricultural,Flat,Both,B and C,Prepaid,Yes,Solar,2,4,9,8,8.1,1.7,8.1,2,1,Moderate,8.5023,8.5023,9.25495994655275,3.5524868292083815,1.78,0.654,0.479,0.623,0.439
Benue,Residential,Shop,NEPA/PHCN,B and D,Yes,No,Solar,5,8,9,1,10.0,0.0,4.4,0,1,Very high,9.3951,9.3951,7.88758403166028,7.36915953941441,1.47,0.553,0.544,0.588,0.737
Sokoto,Residential,Duplex,Both,B and D,Yes,No,Generator,2,5,10,28,15.6,0.0,5.4,2,1,Very high,9.1278,9.1278,8.344267356262645,6.441903020858877,3.22,0.609,0.522,1.04,0.413
Bauchi,Residential,Flat,NEPA/PHCN,B and C,Yes,No,Generator,7,1,5,2,9.9,0.0,4.4,0,2,Low,7.5326,7.5326,8.360071435644025,4.620058798481842,0.66,1.255,0.474,1.65,0.467
Bauchi,Residential,Office,NEPA/PHCN,B and E,Yes,No,No Backup,7,3,6,13,14.4,0.0,5.0,0,0,Low,10.2775,10.2775,9.744902053418757,4.130354999745133,0.59,1.142,0.513,1.6,0.287
Sokoto,Residential,Factory,Both,B and D,No,No,Generator,5,4,10,0,10.0,0.0,6.4,2,1,High,10.2272,10.2272,9.634954298923107,4.4520190064939165,0.89,0.731,0.515,0.714,0.445
Bauchi,Commercial,Office,Both,B and D,Yes,Yes,Generator,4,1,10,23,16.7,0.6,5.4,1,1,Very high,10.2533,10.2533,9.50181524266666,6.363028103540465,1.59,0.932,0.519,1.518,0.381
Kano,Residential,Duplex,Generator,B and C,Yes,No,Generator,6,2,10,4,12.7,0.0,5.2,1,1,High,10.3343,10.3343,7.790696031174738,8.593042503699674,1.43,0.861,0.57,1.058,0.677
Benue,Commercial,Flat,Solar,B and C,No,Yes,Generator,4,2,10,17,14.5,0.5,4.5,2,1,Very high,6.9088,6.9088,8.46863300080086,6.336294616678791,1.58,0.576,0.449,1.208,0.437
Delta,Government,Shop,Generator,B and B,Yes,No,Generator,2,3,6,1,8.9,0.0,4.1,0,0,Low,10.7833,10.7833,9.99442454752823,5.3171391207886245,2.66,1.198,0.519,0.989,0.597
Rivers,Commercial,Shop,Solar,B and C,Yes,No,Solar,6,3,4,11,0.8,0.0,3.2,2,1,Moderate,10.6091,10.6091,6.386879319362645,5.609105427714293,0.93,1.516,0.624,0.114,7.011
Anambra,Residential,Duplex,Both,B and E,No,No,Generator,6,1,9,12,2.8,0.0,2.9,0,0,Low,10.2862,10.2862,9.293577970546238,6.024657514463746,1.0,1.029,0.525,0.28,2.152
Kano,Residential,Office,NEPA/PHCN,B and B,Yes,No,Generator,4,2,5,0,5.5,0.0,6.8,1,0,High,10.5396,10.5396,9.09963224999176,6.639875833826536,1.66,1.506,0.537,0.786,1.207
Oyo,Commercial,Bungalow,NEPA/PHCN,B and B,Yes,Yes,Generator,3,1,9,20,1.6,0.8,6.7,5,3,Very high,10.314,10.314,9.808627271512169,5.195730777772936,1.73,1.031,0.513,0.16,3.247
Kano,Residential,Bungalow,NEPA/PHCN,B and C,No,No,Generator,5,2,8,11,2.8,0.0,5.9,3,0,Low,9.6534,9.6534,7.091742115095153,3.616308761279101,0.72,0.965,0.576,0.28,1.292
Delta,Commercial,Flat,NEPA/PHCN,B and C,Yes,Yes,Generator,5,2,4,6,14.7,1.8,6.1,1,0,Moderate,9.0463,9.0463,9.486835098787386,8.291797105048733,1.66,1.508,0.488,2.45,0.564
Oyo,Residential,Duplex,NEPA/PHCN,B and B,Yes,No,Generator,5,2,4,2,24.0,0.0,5.8,0,0,Low,8.9417,8.9417,8.135346948906706,5.263725921778417,1.05,1.49,0.524,4.0,0.219
Anambra,Government,Bungalow,Generator,B and D,Yes,No,Generator,3,8,11,14,12.4,0.0,5.3,1,0,Moderate,8.1781,8.1781,9.100190628475195,4.209160236650682,1.4,0.43,0.473,0.653,0.339
Delta,Industrial,Factory,Solar,B and A,Yes,No,UPS,5,3,9,1,9.9,0.0,6.5,0,1,High,9.6596,9.6596,8.394121193826242,3.6189933266497696,0.72,0.805,0.535,0.825,0.366
Abuja,Commercial,Flat,NEPA/PHCN,B and B,Yes,Yes,No Backup,5,2,6,9,12.8,1.1,2.0,1,1,Low,9.1992,9.1992,9.649498121050817,4.755312844417811,0.95,1.15,0.488,1.6,0.372
Rivers,Residential,Shop,NEPA/PHCN,B and C,Yes,No,Generator,6,4,8,17,0.0,0.0,7.1,2,1,Moderate,9.7175,9.7175,7.926602599181384,4.8064770426931265,0.8,0.81,0.551,0.0,inf
Anambra,Residential,Office,Both,B and D,No,No,Solar,3,1,11,18,14.3,0.0,4.2,1,0,Low,9.8098,9.8098,6.8501261661455,3.7932394694381792,1.26,0.817,0.589,1.192,0.265
Benue,Industrial,Factory,NEPA/PHCN,B and C,Yes,No,Generator,3,3,5,22,0.0,0.0,5.1,0,3,Low,10.4214,10.4214,9.536545799098715,4.804021044733257,1.6,1.303,0.522,0.0,inf
Bauchi,Commercial,Duplex,Both,B and C,Yes,No,Generator,4,2,11,4,13.0,0.0,4.5,1,0,Very high,9.6825,9.6825,7.463363045520021,6.486160788944089,1.62,0.745,0.565,1.0,0.499
Abuja,Residential,Duplex,Generator,B and B,Yes,Yes,Generator,4,2,14,3,11.5,3.5,6.0,0,1,Very high,9.7437,9.7437,9.209680154080303,5.838604700463646,1.46,0.609,0.514,0.719,0.508
Kwara,Residential,Office,Both,B and A,Yes,No,Generator,5,5,8,13,7.6,0.0,6.6,2,2,High,8.8278,8.8278,9.867342105899775,5.583120298248974,1.12,0.679,0.472,0.585,0.735
Anambra,Residential,Duplex,NEPA/PHCN,B and A,No,Yes,Generator,2,1,10,5,9.9,2.0,8.5,2,1,Low,8.8642,8.8642,8.175547596021026,3.044522437723423,1.52,0.806,0.52,0.9,0.308
Kwara,Industrial,Shop,Generator,B and C,Prepaid,No,Solar,3,2,10,18,17.1,0.0,8.9,0,1,Very high,8.0653,8.0653,9.955842782870056,5.969218938160663,1.99,0.672,0.448,1.425,0.349
Oyo,Residential,Flat,NEPA/PHCN,B and C,Yes,Yes,Generator,8,1,8,13,8.9,0.5,4.1,4,0,Moderate,8.4998,8.4998,6.915723448631314,5.353278924622011,0.67,0.944,0.551,0.989,0.601
Abuja,Commercial,Duplex,Both,B and E,Prepaid,Yes,Generator,1,4,5,7,10.5,0.6,6.8,3,1,High,8.9098,8.9098,9.18254770919177,5.536546555280287,5.54,0.99,0.492,1.167,0.527
Rivers,Commercial,Office,Solar,B and A,Yes,Yes,Generator,4,8,7,7,10.5,0.6,7.8,2,0,High,7.67,7.67,9.36134324551271,4.553876891600541,1.14,0.511,0.45,0.7,0.434
Benue,Commercial,Flat,Solar,B and C,No,No,Solar,3,4,8,32,3.4,0.0,6.6,0,2,Low,10.4086,10.4086,8.915566545710645,4.355425952876702,1.45,0.867,0.539,0.283,1.281
Sokoto,Government,Bungalow,NEPA/PHCN,B and D,No,No,UPS,6,6,5,13,10.1,0.0,3.9,2,1,Moderate,8.6582,8.6582,8.587651655064798,5.744924417987376,0.96,0.787,0.502,0.918,0.569
Benue,Government,Bungalow,Solar,B and B,Yes,No,Generator,6,2,9,7,12.9,0.0,7.2,1,1,High,9.8493,9.8493,7.613324979540639,5.469746482175568,0.91,0.895,0.564,1.173,0.424
Delta,Commercial,Shop,Both,B and D,Yes,No,Generator,3,3,8,14,7.3,0.0,6.4,0,2,High,8.1095,8.1095,8.983063289380366,6.178980920779041,2.06,0.737,0.474,0.664,0.846
Benue,Residential,Bungalow,NEPA/PHCN,B and C,Yes,Yes,Generator,1,4,10,12,19.8,1.5,4.8,1,1,Moderate,9.0808,9.0808,9.064505023752638,5.332718793265369,5.33,0.649,0.5,1.414,0.269
Niger,Residential,Bungalow,Generator,B and B,No,No,UPS,4,2,10,32,0.7,0.0,7.6,2,2,Moderate,9.0511,9.0511,9.007121989469242,5.286750730176571,1.32,0.754,0.501,0.058,7.553
Enugu,Commercial,Duplex,NEPA/PHCN,B and C,No,Yes,Generator,2,4,8,23,17.1,0.5,9.0,0,1,Moderate,8.682,8.682,9.173365135851288,5.44673737166631,2.72,0.724,0.486,1.425,0.319
Sokoto,Commercial,Flat,NEPA/PHCN,B and D,Yes,No,Generator,4,5,4,24,10.9,0.0,2.7,1,1,Low,8.8878,8.8878,8.181160858023409,4.005513348515485,1.0,0.988,0.521,1.211,0.367
Kano,Commercial,Office,Solar,B and B,No,No,Generator,4,4,3,5,14.6,0.0,7.7,0,0,High,8.9102,8.9102,10.210163101480443,5.968195920168628,1.49,1.273,0.466,2.086,0.409
Bauchi,Residential,Flat,Solar,B and B,Yes,Yes,Generator,3,5,13,10,11.3,0.5,7.2,2,1,High,10.108,10.108,10.250016196420983,3.044522437723423,1.01,0.562,0.497,0.628,0.269
Lagos,Commercial,Duplex,Both,B and B,Yes,Yes,UPS,6,3,7,12,11.2,2.1,6.3,2,3,High,9.0197,9.0197,7.085064293952548,4.456670177669648,0.74,0.902,0.56,1.12,0.398
Rivers,Residential,Factory,NEPA/PHCN,B and B,No,No,Generator,2,4,9,9,12.8,0.0,6.4,1,0,Low,9.0642,9.0642,8.840580188488795,3.044522437723423,1.52,0.697,0.506,0.985,0.238
Abuja,Industrial,Warehouse,NEPA/PHCN,B and A,Yes,Yes,UPS,3,6,2,3,7.7,1.9,1.8,1,0,High,9.3444,9.3444,10.239638308916676,6.561030665896573,2.19,1.168,0.477,0.962,0.852
Enugu,Residential,Flat,Solar,B and B,No,Yes,UPS,8,3,9,25,15.4,4.9,6.5,0,0,Moderate,9.4239,9.4239,9.01724094201035,5.4638318050256105,0.68,0.785,0.511,1.283,0.355
Rivers,Industrial,Bungalow,Generator,B and E,No,No,Solar,6,4,9,10,0.0,0.0,7.7,1,1,High,9.8034,9.8034,9.04735074348172,5.019925341003349,0.84,0.754,0.52,0.0,inf
Abuja,Residential,Office,Generator,B and C,Yes,No,Solar,8,5,7,13,5.5,0.0,2.2,2,1,Low,9.3179,9.3179,7.564238475170491,4.592084946439436,0.57,0.776,0.552,0.458,0.835
Bauchi,Residential,Bungalow,NEPA/PHCN,B and B,No,No,UPS,3,5,11,18,14.0,0.0,10.2,2,1,Very high,9.6362,9.6362,8.85666093701725,6.025141073467366,2.01,0.602,0.521,0.875,0.43
Kaduna,Industrial,Shop,Generator,B and C,Yes,Yes,UPS,2,3,7,4,0.9,3.6,8.0,1,1,High,10.1477,10.1477,9.162745493168499,5.661570625846892,2.83,1.015,0.526,0.09,6.291
Kaduna,Residential,Bungalow,NEPA/PHCN,B and C,Yes,No,Generator,2,8,10,19,9.1,0.0,8.0,0,0,High,9.6407,9.6407,9.938951216811697,5.971261839790462,2.99,0.536,0.492,0.506,0.656
Kwara,Industrial,Factory,Generator,B and D,Yes,No,Generator,6,6,7,21,12.6,0.0,4.9,1,0,Very high,10.5978,10.5978,9.362030885216615,5.8547853481927286,0.98,0.815,0.531,0.969,0.465
Rivers,Commercial,Flat,NEPA/PHCN,B and D,Yes,No,No Backup,4,5,3,7,8.0,0.0,6.5,0,0,Low,10.546,10.546,9.217514575724183,5.655991810819852,1.41,1.318,0.534,1.0,0.707
Kaduna,Commercial,Flat,Solar,B and D,Yes,Yes,Solar,4,5,11,23,15.2,7.5,5.9,1,0,High,7.8782,7.8782,4.127134385045092,5.8522024797744745,1.46,0.492,0.656,0.95,0.385
Niger,Residential,Duplex,NEPA/PHCN,B and C,Yes,No,Generator,3,3,5,21,4.7,0.0,8.3,0,2,Moderate,9.2365,9.2365,7.785720896534624,6.22455842927536,2.07,1.155,0.543,0.588,1.324
Sokoto,Commercial,Duplex,Generator,B and D,Yes,No,Generator,4,3,11,12,8.7,0.0,4.3,1,0,Very high,9.0411,9.0411,8.574895901544526,6.302618975744905,1.58,0.646,0.513,0.621,0.724
Abuja,Commercial,Flat,Generator,B and D,No,No,Generator,3,4,8,7,3.9,0.0,3.9,1,1,Moderate,8.8911,8.8911,10.4107267527667,4.930870325627393,1.64,0.741,0.461,0.325,1.264
Kwara,Commercial,Bungalow,Solar,B and A,Yes,Yes,Generator,4,4,12,10,0.0,0.8,4.9,1,0,Moderate,7.7816,7.7816,9.543664802306665,3.775057150354989,0.94,0.486,0.449,0.0,inf
Benue,Commercial,Office,Both,B and C,No,No,Generator,2,3,8,14,20.0,0.0,5.8,1,1,Moderate,8.9472,8.9472,9.746424301956267,5.005287687769661,2.5,0.813,0.479,1.818,0.25
Abuja,Residential,Flat,NEPA/PHCN,B and A,Yes,No,UPS,5,6,10,21,14.6,0.0,12.0,0,3,Very high,9.6185,9.6185,9.606966531417143,5.846727750641299,1.17,0.601,0.5,0.912,0.4
Kwara,Residential,Duplex,NEPA/PHCN,B and D,No,No,Generator,1,4,10,8,8.7,0.0,9.5,0,1,High,7.1405,7.1405,7.231287004327616,6.423246963533519,6.42,0.51,0.497,0.621,0.738
Bauchi,Residential,Flat,Solar,B and C,Yes,No,Generator,4,3,9,23,14.7,0.0,4.9,2,0,Moderate,8.8943,8.8943,10.222159441674654,3.3250360206965914,0.83,0.741,0.465,1.225,0.226
Rivers,Residential,Flat,Generator,B and B,No,Yes,Generator,2,6,3,11,3.6,1.0,6.1,3,1,Low,6.9088,6.9088,9.51745735706657,4.9279780604152466,2.46,0.768,0.421,0.4,1.369
Bauchi,Residential,Bungalow,NEPA/PHCN,B and A,Yes,No,Generator,5,3,3,2,6.1,0.0,5.6,3,3,High,8.1803,8.1803,10.372083942084382,5.1515559851526325,1.03,1.363,0.441,1.017,0.845
Sokoto,Industrial,Factory,Solar,B and B,Yes,Yes,UPS,1,6,9,25,8.4,2.0,6.5,1,4,High,8.9417,8.9417,9.597302008519787,4.050044303325521,4.05,0.596,0.482,0.56,0.482
Sokoto,Industrial,Bungalow,Both,B and B,Yes,No,Generator,4,4,8,18,9.7,0.0,2.8,2,2,High,9.4219,9.4219,8.039802343736485,5.175019150203543,1.29,0.785,0.54,0.808,0.534
Enugu,Residential,Duplex,NEPA/PHCN,B and C,Yes,No,Generator,1,8,4,15,12.6,0.0,6.3,2,0,Low,7.9374,7.9374,9.933531673884504,3.0587070727153796,3.06,0.661,0.444,1.05,0.243
Bauchi,Agricultural,Bungalow,NEPA/PHCN,B and B,Yes,No,Generator,7,5,10,21,2.8,0.0,4.3,3,1,Very high,9.5277,9.5277,9.735896960342167,5.860501282589169,0.84,0.635,0.495,0.187,2.093
Delta,Commercial,Factory,NEPA/PHCN,B and A,Yes,No,Generator,5,2,11,19,6.7,0.0,3.4,1,1,Very high,9.297,9.297,8.862908295118627,6.996681488176539,1.4,0.715,0.512,0.515,1.044
Benue,Government,Bungalow,NEPA/PHCN,B and E,No,No,Generator,8,5,8,22,12.4,0.0,6.7,0,1,Very high,8.5685,8.5685,6.947937068614969,6.994483282491961,0.87,0.659,0.552,0.954,0.564
Anambra,Industrial,Bungalow,Solar,B and B,No,No,No Backup,4,5,6,10,5.9,0.0,5.2,4,1,Very high,9.0737,9.0737,9.41987169587053,4.415219602029645,1.1,0.825,0.491,0.536,0.748
Bauchi,Industrial,Office,Generator,B and C,No,No,Generator,5,1,5,15,10.9,0.0,9.9,2,3,High,6.9613,6.9613,9.712932190815069,3.6988297849671046,0.74,1.16,0.417,1.817,0.339
Enugu,Residential,Duplex,NEPA/PHCN,B and B,No,No,Solar,3,3,9,17,11.5,0.0,8.6,0,0,Low,9.5469,9.5469,4.718498871295094,4.109233174715851,1.37,0.796,0.669,0.958,0.357
Oyo,Residential,Bungalow,NEPA/PHCN,B and C,Yes,No,Generator,6,3,4,12,11.6,0.0,6.1,1,1,Low,8.5156,8.5156,6.803505257608338,5.241747015059643,0.87,1.217,0.556,1.657,0.452
Niger,Residential,Warehouse,Generator,B and B,Yes,Yes,Generator,3,5,7,13,11.0,0.5,8.6,1,0,Very high,8.9004,8.9004,7.979338895262328,6.84300340175244,2.28,0.742,0.527,0.917,0.622
Abuja,Industrial,Duplex,NEPA/PHCN,B and A,No,Yes,Generator,5,2,7,14,7.7,2.2,2.0,1,0,Low,8.8569,8.8569,9.242613932526478,3.1354942159291497,0.63,0.984,0.489,0.856,0.407
Sokoto,Residential,Duplex,NEPA/PHCN,B and A,Yes,No,Solar,3,6,8,0,12.3,0.0,4.6,1,0,Moderate,7.3179,7.3179,8.886547412512042,4.235554730773624,1.41,0.523,0.452,0.879,0.344
Oyo,Industrial,Bungalow,NEPA/PHCN,B and C,Yes,Yes,Generator,6,1,6,1,4.4,0.5,6.6,2,1,Moderate,9.5978,9.5978,9.839322295060342,4.670021158307708,0.78,1.371,0.494,0.629,1.061
Enugu,Residential,Shop,Generator,B and C,Yes,Yes,Generator,3,4,4,3,6.5,2.1,8.6,1,3,Very high,8.2388,8.2388,9.778830947936573,7.2031822818813644,2.4,1.03,0.457,0.812,1.108
Kwara,Industrial,Flat,Solar,B and B,Yes,No,Generator,7,5,5,4,6.4,0.0,7.6,1,0,High,9.6565,9.6565,9.698552220870587,3.8918202981106265,0.56,0.966,0.499,0.64,0.608
Anambra,Residential,Bungalow,NEPA/PHCN,B and C,No,Yes,Generator,1,5,11,7,12.2,1.8,7.7,2,2,High,9.7794,9.7794,7.757478766584179,5.994460056087781,5.99,0.611,0.558,0.762,0.491
Benue,Residential,Factory,NEPA/PHCN,B and D,No,No,Solar,2,2,9,0,14.9,0.0,5.5,0,2,Low,10.0736,10.0736,9.653293924495339,5.495937960631161,2.75,0.916,0.511,1.355,0.369
Benue,Residential,Bungalow,NEPA/PHCN,B and B,Yes,No,UPS,4,1,9,3,6.0,0.0,4.9,0,1,Low,10.1714,10.1714,8.170185652879642,3.044522437723423,0.76,1.017,0.555,0.6,0.507
Benue,Residential,Bungalow,NEPA/PHCN,B and C,No,No,Generator,4,5,7,11,5.1,0.0,10.8,2,0,Very high,8.1951,8.1951,8.043020885298283,6.800615403424233,1.7,0.683,0.505,0.425,1.333
